,Source language,Translation 1
0,"Student ( a ) ∨ ( Medium ( b ) ∨ ∀ x SameSize ( x , x ) )","a is a student , b is medium or for all x , x is of the same size as itself"
1,"∀ x ¬ ( LeftOf ( x , x ) → LeftOf ( a , b ) )","for all x , it is not the case that if x is to the left of itself , then a is to the left of b"
2,"Adjoins ( a , b ) ∧ ( ( SameRow ( a , b ) ∧ Person ( b ) ) → ( Dodec ( c ) ∧ RightOf ( c , a ) ) )","all these hold : \n\t• a is adjacent to b \n\t• if a is in the same row as b and b is a person , then c is a dodecahedron and c is to the right of a"
3,"∀ x RightOf ( a , a )","for all x , a is to the right of itself"
4,"∀ x ∀ x ∃ x SameSize ( x , a )","for all x , for all x , there is an element x such that x is of the same size as a"
5,"∃ x ∀ x ¬ Larger ( x , x )","there is an element x such that for all x , x is not larger than x"
6,"¬ ( Adjoins ( a , b ) → Adjoins ( a , c ) ) ∨ ¬ ( Student ( c ) ∧ Medium ( a ) )","it is not the case that if a is adjacent to b , then a is adjacent to c or it is not the case that c is a student and a is medium"
7,Medium ( a ) ∨ ( ( Small ( b ) → Tet ( b ) ) → ¬ Person ( c ) ),"at least one of these holds : \n\t• a is medium \n\t• if if b is small , then b is a tetrahedron , then c is not a person"
8,"∀ x ∃ x SameSize ( x , a )","for all x , there is an element x such that x is of the same size as a"
9,"( ∃ x FrontOf ( a , x ) → ( Large ( a ) ∧ SameSize ( a , b ) ) ) ∨ Smaller ( c , c )","at least one of these holds : \n\t• if there is an element x such that a is in front of x , then a is large and of the same size as b \n\t• c is smaller than itself"
10,∃ x ( ∃ y Even ( a ) ∨ ∃ y Tet ( y ) ),there is an element x such that there is an element y such that a is even or there is an element y such that y is a tetrahedron
11,"∃ x ( ¬ SameRow ( a , a ) → ∀ y SameRow ( a , a ) )","there is an element x such that if a is not in the same row as a , then for all y , a is in the same row as itself"
12,"∀ x ( Medium ( a ) → Medium ( x ) ) ∨ ∃ x ( Larger ( a , x ) ∧ Medium ( x ) )","for all x , if a is medium , then x is medium or there is an element x such that a is larger than x and x is medium"
13,"¬ ( SameRow ( a , b ) ∧ Dodec ( b ) ) → ∃ x ( Person ( a ) → Even ( x ) )","if it is not the case that a is in the same row as b and b is a dodecahedron , then there is an element x such that if a is a person , then x is even"
14,"∃ x ( ∃ x Smaller ( x , x ) → ¬ Pet ( x ) )","there is an element x such that if there is an element x such that x is smaller than itself , then x is not a pet"
15,∀ x ( Small ( a ) ∧ Prime ( x ) ) ∨ Even ( a ),"for all x , a is small and x is a prime or a is even"
16,"( ∃ x Student ( a ) ∧ ∃ x Person ( b ) ) → ( ( Pet ( a ) ∨ Adjoins ( a , b ) ) ∨ ¬ Cube ( a ) )","if there is an element x such that a is a student and there is an element x such that b is a person , then a is a pet , a is adjacent to b or a is not a cube"
17,"Small ( a ) ∧ ( Medium ( a ) → ( Larger ( a , a ) ∧ SameCol ( b , c ) ) )","all these hold : \n\t• a is small \n\t• if a is medium , then a is larger than itself and b is in the same column as c"
18,∃ x ( ¬ Cube ( a ) ∨ Large ( x ) ),there is an element x such that a is not a cube or x is large
19,∀ x ¬ ( Medium ( x ) ∨ Pet ( x ) ),"for all x , it is not the case that x is medium or x is a pet"
20,"∃ x ( ¬ Even ( x ) → ( Small ( a ) ∧ FrontOf ( b , x ) ) )","there is an element x such that if x is not even , then a is small and b is in front of x"
21,"∃ x ∀ x ( Adjoins ( x , a ) ∧ Dodec ( b ) )","there is an element x such that for all x , x is adjacent to a and b is a dodecahedron"
22,∃ x ∀ x ¬ Prime ( x ),"there is an element x such that for all x , x is not a prime"
23,"∃ x ( ∀ x SameShape ( a , a ) → ∃ x Small ( b ) )","there is an element x such that if for all x , a is of the same shape as itself , then there is an element x such that b is small"
24,"Even ( a ) ∨ ( ∃ x Tet ( x ) ∧ ∃ y Larger ( y , y ) )",at least one of these holds : \n\t• a is even \n\t• there is an element x such that x is a tetrahedron and there is an element y such that y is larger than itself
25,"∀ x ( ( SameRow ( a , x ) → Smaller ( b , x ) ) → ( LeftOf ( x , b ) ∨ Cube ( x ) ) )","for all x , if if a is in the same row as x , then b is smaller than x , then x is to the left of b or x is a cube"
26,"( Even ( a ) → ∃ x Even ( x ) ) ∨ ( ∃ x Even ( x ) ∨ ( Cube ( b ) → RightOf ( b , b ) ) )","at least one of these holds : \n\t• if a is even , then there is an element x such that x is even , there is an element x such that x is even \n\t• if b is a cube , then b is to the right of itself"
27,"∀ x ∃ y ( SameCol ( a , y ) ∨ Even ( b ) )","for all x , there is an element y such that a is in the same column as y or b is even"
28,"∃ x ¬ ∃ y SameCol ( a , y )",there is an element x such that it is not the case that there is an element y such that a is in the same column as y
29,( ∀ x Medium ( x ) ∨ ¬ Pet ( a ) ) → ¬ Person ( a ),"if for all x , x is medium or a is not a pet , then a is not a person"
30,"( ( SameCol ( a , b ) ∧ Large ( b ) ) ∨ SameCol ( b , b ) ) ∨ ∀ x ∀ x Cube ( x )","at least one of these holds : \n\t• a is in the same column as b and b is large , b is in the same column as itself \n\t• for all x , for all x , x is a cube"
31,"∀ x ( Even ( x ) → Large ( x ) ) ∨ ¬ Adjoins ( a , b )","for all x , if x is even , then x is large or a is not adjacent to b"
32,"∃ x ¬ ∃ x SameCol ( x , a )",there is an element x such that it is not the case that there is an element x such that x is in the same column as a
33,∀ x ∃ x Even ( a ) ∧ ∃ x ¬ Small ( a ),"for all x , there is an element x such that a is even and there is an element x such that a is not small"
34,"∀ x ( Medium ( x ) → SameCol ( a , x ) )","for all x , if x is medium , then a is in the same column as x"
35,"∀ x ∀ y ( Pet ( x ) ∨ BackOf ( a , a ) )","for all x , for all y , x is a pet or a is in back of itself"
36,"LeftOf ( a , b ) ∧ ( ( Person ( a ) → Prime ( b ) ) → ∀ x Student ( x ) )","all these hold : \n\t• a is to the left of b \n\t• if if a is a person , then b is a prime , then for all x , x is a student"
37,"¬ FrontOf ( a , b ) ∧ ( ∃ x Even ( a ) ∧ ( Student ( b ) ∨ Even ( c ) ) )","all these hold : \n\t• a is not in front of b , there is an element x such that a is even \n\t• b is a student or c is even"
38,"¬ ∃ x SameSize ( x , x ) ∧ Cube ( a )",it is not the case that there is an element x such that x is of the same size as itself and a is a cube
39,"∀ x ( ( Small ( x ) → Adjoins ( a , a ) ) ∨ ¬ SameShape ( x , x ) )","for all x , at least one of these holds : \n\t• if x is small , then a is adjacent to itself \n\t• x is not of the same shape as x"
40,"¬ ∃ x ∃ x RightOf ( x , x )",it is not the case that there is an element x such that there is an element x such that x is to the right of itself
41,"∃ x ( ¬ SameShape ( a , a ) → LeftOf ( x , b ) )","there is an element x such that if a is not of the same shape as a , then x is to the left of b"
42,¬ ( ( Dodec ( a ) → Medium ( a ) ) ∧ Medium ( b ) ),"it is not the case that all these hold : \n\t• if a is a dodecahedron , then a is medium \n\t• b is medium"
43,"∃ x ( ( Small ( x ) ∨ LeftOf ( a , x ) ) ∨ Person ( a ) )","there is an element x such that x is small , a is to the left of x or a is a person"
44,"∀ x ( Pet ( a ) → Medium ( x ) ) → ¬ LeftOf ( a , a )","if for all x , if a is a pet , then x is medium , then a is not to the left of a"
45,¬ ( ( Person ( a ) ∧ Even ( b ) ) → ¬ Medium ( b ) ),"it is not the case that if a is a person and b is even , then b is not medium"
46,"( ¬ Large ( a ) ∧ ¬ Cube ( a ) ) ∧ ¬ ( BackOf ( b , c ) ∧ Medium ( b ) )","a is not large , a is not a cube and it is not the case that b is in back of c and medium"
47,"∀ x ( Large ( a ) → ¬ SameShape ( b , x ) )","for all x , if a is large , then b is not of the same shape as x"
48,"∀ x SameSize ( x , a )","for all x , x is of the same size as a"
49,"( Dodec ( a ) ∧ ( Person ( a ) ∨ Dodec ( a ) ) ) ∨ ∀ x ( Prime ( a ) → LeftOf ( x , b ) )","all these hold : \n\t• a is a dodecahedron \n\t• a is a person or a is a dodecahedron or for all x , if a is a prime , then x is to the left of b"
50,"∀ x ( ( SameSize ( x , a ) ∧ FrontOf ( a , a ) ) ∨ ¬ Pet ( x ) )","for all x , at least one of these holds : \n\t• x is of the same size as a and a is in front of itself \n\t• x is not a pet"
51,"∃ x ∀ y ( Pet ( y ) ∧ BackOf ( a , x ) )","there is an element x such that for all y , y is a pet and a is in back of x"
52,"∃ x ( Cube ( a ) ∨ ∀ y FrontOf ( a , b ) )","there is an element x such that a is a cube or for all y , a is in front of b"
53,"¬ ( ( BackOf ( a , a ) ∧ Medium ( b ) ) ∨ ( Medium ( c ) ∧ SameCol ( c , d ) ) )",it is not the case that at least one of these holds : \n\t• a is in back of itself and b is medium \n\t• c is medium and in the same column as d
54,"∃ x ( Student ( x ) → Even ( x ) ) → ∀ x ( Pet ( a ) ∨ SameCol ( x , x ) )","if there is an element x such that if x is a student , then x is even , then for all x , a is a pet or x is in the same column as itself"
55,¬ ( ∀ x Prime ( a ) ∧ ∀ y Tet ( y ) ),"it is not the case that for all x , a is a prime and for all y , y is a tetrahedron"
56,"( ∃ x Small ( a ) ∧ ∀ x Pet ( x ) ) ∨ ( ( SameRow ( b , c ) ∧ Cube ( a ) ) → ¬ Tet ( a ) )","at least one of these holds : \n\t• there is an element x such that a is small and for all x , x is a pet \n\t• if b is in the same row as c and a is a cube , then a is not a tetrahedron"
57,∃ x ∃ x ¬ Prime ( x ),there is an element x such that there is an element x such that x is not a prime
58,"¬ ¬ ( LeftOf ( a , b ) → Dodec ( b ) )","it is not the case that it is not the case that if a is to the left of b , then b is a dodecahedron"
59,"¬ ( ( FrontOf ( a , b ) ∨ BackOf ( c , b ) ) ∧ ( Prime ( b ) → Tet ( a ) ) )","it is not the case that all these hold : \n\t• a is in front of b or c is in back of b \n\t• if b is a prime , then a is a tetrahedron"
60,"∀ x ∀ x RightOf ( a , x ) ∧ ¬ ∀ y Even ( y )","for all x , for all x , a is to the right of x and it is not the case that for all y , y is even"
61,∃ x ∀ y ( Medium ( a ) → Prime ( a ) ),"there is an element x such that for all y , if a is medium , then a is a prime"
62,"∃ x SameCol ( a , a )",there is an element x such that a is in the same column as itself
63,"∃ x ( ( Even ( a ) ∧ Person ( a ) ) ∧ ∃ x Adjoins ( a , x ) )","there is an element x such that a is even , a is a person and there is an element x such that a is adjacent to x"
64,"( ( Larger ( a , a ) ∨ SameRow ( b , c ) ) ∧ ¬ Prime ( a ) ) → ( ¬ Large ( a ) ∧ LeftOf ( d , d ) )","if all these hold : \n\t• a is larger than itself or b is in the same row as c \n\t• a is not a prime , then a is not large and d is to the left of itself"
65,"¬ ( ( Large ( a ) ∧ Dodec ( a ) ) ∨ Larger ( b , a ) )",it is not the case that at least one of these holds : \n\t• a is large and a is a dodecahedron \n\t• b is larger than a
66,∀ x ( Small ( x ) → Even ( x ) ) → Even ( a ),"if for all x , if x is small , then x is even , then a is even"
67,"∀ x ¬ ( SameRow ( a , b ) → Medium ( a ) )","for all x , it is not the case that if a is in the same row as b , then a is medium"
68,( ∃ x Dodec ( a ) → ∃ y Even ( a ) ) ∨ ( ∀ y Large ( y ) ∧ ( Cube ( b ) → Pet ( b ) ) ),"at least one of these holds : \n\t• if there is an element x such that a is a dodecahedron , then there is an element y such that a is even \n\t• all these hold : \n\t• for all y , y is large \n\t• if b is a cube , then b is a pet"
69,¬ ∃ x ∃ x Small ( a ),it is not the case that there is an element x such that there is an element x such that a is small
70,¬ ∃ x ∃ x Cube ( a ),it is not the case that there is an element x such that there is an element x such that a is a cube
71,"Small ( a ) → ¬ ( Adjoins ( a , a ) → Large ( b ) )","if a is small , then it is not the case that if a is adjacent to itself , then b is large"
72,"∀ x ¬ Small ( x ) → ( ∃ y Smaller ( y , y ) → ( Person ( a ) ∧ Tet ( a ) ) )","if for all x , x is not small , then if there is an element y such that y is smaller than itself , then a is a person and a is a tetrahedron"
