,Hypothesis,CorrectAnswer
0,"If 𝗔 is a dodecahedron, then it has something to its right or its left.","Yes"
1,"𝗖 is to the left of 𝗔 and smaller than something to the left of 𝗕.","No"
2,"Every small cube has a large cube in front of it.","Yes"
3,"Every dodecahedron is left of a cube or large.","No"
4,"Dodecahedrons are not small.","Yes"
5,"There is something that is neither a cube nor a tetrahedron.","No"
6,"If 𝗕 is a dodecahedron, it has nothing in back of it.","Yes"
7,"𝗕 is to the right of a cube.","Yes"
8,"Only if 𝗖 is small, it is to the right of 𝗔.","No"
9,"Every small cube has a large cube in front of it.","No"
10,"𝗔 is smaller than every tetrahedron if it is larger than some cube.","Yes"
11,"𝗕 is larger than 𝗔 and 𝗘.","Yes"
12,"𝗙 is smaller than 𝗔.","No"
13,"Something is large, something is a cube, something is in back of 𝗖, and something is to the left of 𝗕.","Yes"
14,"𝗘 is not a cube.","Yes"
15,"𝗔 is not to the right of itself.","No"
16,"If 𝗙 is a dodecahedron that has nothing to its right, it is small.","Yes"
17,"Every tetrahedron is in the same column as itself.","No"
18,"𝗕 is smaller than and in front of 𝗗 and 𝗘.","Yes"
19,"At least one of 𝗔 and 𝗖 is a tetrahedron.","No"
20,"If something is a tetrahedron, it is to the left or right of a tetrahedron.","Yes"
0,"𝗔 is large and everything is a tetrahedron and 𝗖 is a student if 𝗕 is in front of it.","No"
1,"If 𝗔 is not small and 𝗕 not a tetrahedron, then 𝗖 is a cube.","Yes"
2,"Something is larger than 𝗔.","No"
3,"𝗔 is in back of itself if it is even.","Yes"
4,"Something is a pet if 𝗔 is not to its right.","Yes"
5,"𝗔 is neither small nor adjacent to 𝗕 and not everything is medium.","No"
6,"𝗔 is not a medium tetrahedron or nothing is a student or 𝗕 is a dodecahedron.","Yes"
7,"If 𝗔 is not in back of 𝗕, then everything is larger than 𝗕.","No"
8,"𝗔 is large if it is in the same column as itself.","Yes"
9,"If 𝗔 is not small, then 𝗕 is a student or 𝗔 is not a student.","Yes"
10,"Something is not to the left of 𝗔.","No"
11,"Something is a prime.","No"
12,"Nothing is in back of itself.","Yes"
13,"𝗔 is not of the same size as 𝗕.","No"
14,"𝗔 is large and in front of 𝗕.","Yes"
15,"𝗔 is a cube.","No"
16,"𝗔 is a person if it is a student.","Yes"
17,"𝗔 is large.","No"
18,"If 𝗔 is not smaller than itself, then it is in back of itself.","Yes"
19,"𝗔 is a cube.","No"
20,"𝗔 is not a dodecahedron and 𝗕 is not small and 𝗕 is in the same row as 𝗖.","No"
