,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
10,10,RG,"SameShape ( a , b ) ∧ ¬ ∃ x Medium ( a )",a is of the same shape as b and it is not the case that there is an element x such that a is medium,Yes,5,5,
11,11,RG,"∀ x ( Prime ( a ) → SameCol ( b , x ) ) → ∃ y ∃ y SameRow ( c , d )","if for all x , if a is a prime , then b is in the same column as x , then there is an element y such that there is an element y such that c is in the same row as d",Yes,1,1,"if for all x, if a is a prime then b is in the same column as x, it follows that there are two elements y such that c is in the same row as d"
12,12,RG,"¬ ¬ ( Medium ( a ) ∨ FrontOf ( a , b ) )",it is not the case that it is not the case that a is medium or in front of b,Yes,1,1,a is medium or in front of b
13,13,RG,"Student ( a ) ∧ ( ¬ Adjoins ( b , b ) → ∀ x Dodec ( x ) )","all these hold : \n\t• a is a student \n\t• if b is not adjacent to b , then for all x , x is a dodecahedron",Yes,5,5,
14,14,RG,"∃ x ∀ x Prime ( x ) ∨ ∃ x ( BackOf ( x , x ) → Small ( x ) )","there is an element x such that for all x , x is a prime or there is an element x such that if x is in back of itself , then x is small",Yes,4,4,"there is an element x such that for all x, x is a prime number, or there is an element x such that if x is behind itself, then x is small"
15,15,RG,"Small ( a ) ∨ ∀ x ( Cube ( x ) ∨ LeftOf ( b , x ) )","a is small or for all x , x is a cube or b is to the left of x",Yes,5,5,
16,16,RG,"SameSize ( a , b ) → ( ( Prime ( a ) ∨ FrontOf ( b , a ) ) ∨ ( Small ( a ) → Dodec ( b ) ) )","if a is of the same size as b , then at least one of these holds : \n\t• a is a prime , b is in front of a \n\t• if a is small , then b is a dodecahedron",No,4,4,"if a is of the same size as b, then at least one of these holds:   • a is a prime, or b is in front of a   • if a is small, then b is a dodecahedron"
17,17,RG,"( ( Prime ( a ) ∨ Small ( b ) ) ∨ ∃ x Student ( b ) ) ∧ ¬ ( RightOf ( b , c ) ∧ LeftOf ( d , d ) )","all these hold : \n\t• a is a prime , b is small or there is an element x such that b is a student \n\t• it is not the case that b is to the right of c and d is to the left of itself",Yes,5,5,
18,18,RG,"∀ x ( ( Large ( a ) → Large ( a ) ) ∨ ( RightOf ( b , b ) → Student ( c ) ) )","for all x , at least one of these holds : \n\t• if a is large , then a is large \n\t• if b is to the right of itself , then c is a student",Yes,5,5,
19,19,RG,"¬ Even ( a ) ∨ Smaller ( a , b )",a is not even or a is smaller than b,Yes,5,5,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,No,3,3,it is not the case that there is an element x such that: if a is in the same shape as b then c is in the same row as itself
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",No,4,4,"for all x, x is a tetrahedron or a is a prime or there is an element x, such that if x a person then a is a student"
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",Yes,5,5,
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,4,4,"there is an element x such that: if x is of the same shape as a and x is an Tet, then x is adjacent to a"
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,No,3,3,there is a cube x ...(there is an operator missing?) if a is a person then x is adjacent to a
