,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
0,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )",Ranta,"For all x, 𝗔 is large or x is a tetrahedron and for all x, if 𝗕 is in front of x, then x is a student.",𝗔 is large and everything is a tetrahedron and 𝗖 is a student if 𝗕 is in front of it.,No
1,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),Ranta,"If it is not the case that 𝗔 is small or 𝗕 is a tetrahedron, then for all x, x is a cube.","If 𝗔 is not small and 𝗕 not a tetrahedron, then 𝗖 is a cube.",Yes
2,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",Ranta,There is an element x such that at least one of these holds : \n\t• x is larger than 𝗔 and 𝗕 is a cube \n\t• 𝗖 is to the left of itself.,Something is larger than 𝗔.,No
3,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )",Ranta,"For all x, if there is an element x such that 𝗔 is even, then for all y, x is in back of itself.",𝗔 is in back of itself if it is even.,Yes
4,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )",Ranta,"There is an element x such that if 𝗔 is not to the right of x, then 𝗕 is a prime and x is a pet.",Something is a pet if 𝗔 is not to its right.,Yes
5,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )",Ranta,"𝗔 is not adjacent to 𝗕, 𝗔 is not small and there is an element x such that for all y, y is medium.",𝗔 is neither small nor adjacent to 𝗕 and not everything is medium.,No
6,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),Ranta,"At least one of these holds : \n\t• for all x, 𝗔 is medium and 𝗔 is not a tetrahedron \n\t• if there is an element x such that x is a student, then there is an element y such that 𝗕 is a dodecahedron.",𝗔 is not a medium tetrahedron or nothing is a student or 𝗕 is a dodecahedron.,Yes
7,RG,NWB,"( ¬ BackOf ( a , b ) → ∀ x Larger ( x , b ) ) → ∃ y ( FrontOf ( y , y ) ∨ Student ( y ) )",LoLa,"If 𝗔 is in back of 𝗕 or everything is larger than 𝗕, then something is in front of itself or something is a student.","If 𝗔 is not in back of 𝗕, then everything is larger than 𝗕.",No
8,RG,NWB,"( Large ( a ) → ∀ x SameCol ( a , a ) ) → Large ( a )",LoLa,"If if 𝗔 is large, then 𝗔 is in the same column as itself, then 𝗔 is large.",𝗔 is large if it is in the same column as itself.,Yes
9,RG,NWB,¬ ¬ Small ( a ) ∨ ( ¬ Student ( b ) → ¬ Student ( a ) ),LoLa,"𝗕 is a student, 𝗔 is not a student or 𝗔 is small.","If 𝗔 is not small, then 𝗕 is a student or 𝗔 is not a student.",Yes
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",LoLa,Something is to the left of 𝗔.,Something is not to the left of 𝗔.,No
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",LoLa,There is a student x such that all these hold : \n\t• 𝗔 is a person or x is a prime \n\t• x is in the same row as 𝗕.,Something is a prime.,No
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",LoLa,Nothing is in back of itself and 𝗔 is a dodecahedron.,Nothing is in back of itself.,Yes
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )",LoLa,𝗕 is not of the same size as 𝗔 or 𝗔 is not medium.,𝗔 is not of the same size as 𝗕.,No
14,RG,WB,"∀ x ( Large ( x ) ∧ FrontOf ( a , b ) )",Baseline,"For all x, x is large and 𝗔 is in front of 𝗕.",𝗔 is large and in front of 𝗕.,Yes
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),Baseline,There is an element x such that it is not the case that 𝗔 is a prime or 𝗔 is a cube.,𝗔 is a cube.,No
16,RG,NWB,Student ( a ) → ( ( Small ( b ) → Tet ( a ) ) ∧ ∀ x Person ( x ) ),Baseline,"If 𝗔 is a student, then if 𝗕 is small, then 𝗔 is a tetrahedron and for all x, x is a person.",𝗔 is a person if it is a student.,Yes
17,RG,NWB,"∀ x ∀ x ( SameSize ( x , x ) → Large ( a ) )",Baseline,"For all x, for all x, if x is of the same size as x, then 𝗔 is large.",𝗔 is large.,No
18,RG,NWB,"( ( Cube ( a ) ∧ BackOf ( a , a ) ) ∧ Even ( b ) ) → ∃ x ∀ y Smaller ( a , a )",Baseline,"If 𝗔 is a cube and 𝗔 is in back of 𝗔 and 𝗕 is even, then there is an element x such that for all y, 𝗔 is smaller than 𝗔.","If 𝗔 is not smaller than itself, then it is in back of itself.",Yes
19,RG,NWB,¬ ( ¬ Cube ( a ) → ( Medium ( a ) ∨ Small ( a ) ) ),Baseline,"It is not the case that if it is not the case that 𝗔 is a cube, then 𝗔 is medium or 𝗔 is small.",𝗔 is a cube.,No
20,RG,NWB,"¬ ∀ x Dodec ( a ) ∧ ( ¬ Small ( b ) ∧ ( SameRow ( b , c ) ∨ SameShape ( a , a ) ) )",Baseline,"It is not the case that for all x, 𝗔 is a dodecahedron and it is not the case that 𝗕 is small and 𝗕 is in the same row as 𝗖 or 𝗔 is of the same shape as 𝗔.",𝗔 is not a dodecahedron and 𝗕 is not small and 𝗕 is in the same row as 𝗖.,No
